MaxAgent,MinAgent,probability,outcome,vote_failure,belief_max,belief_min
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.11,0.8633333333333333,0.17333333333333334,0.8764044943820225,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.12,0.8533333333333334,0.18666666666666668,0.8636363636363636,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.12,0.8333333333333334,0.19,0.8636363636363636,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.12,0.8433333333333334,0.18666666666666668,0.8636363636363636,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.12,0.86,0.19,0.8636363636363636,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.12,0.8566666666666667,0.18666666666666668,0.8636363636363636,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.12,0.85,0.18666666666666668,0.8636363636363636,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.12,0.8666666666666667,0.18333333333333332,0.8636363636363636,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.12,0.85,0.19666666666666666,0.8636363636363636,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.12,0.87,0.19,0.8636363636363636,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.12,0.88,0.18333333333333332,0.8636363636363636,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.13,0.84,0.21,0.8505747126436781,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.13,0.8366666666666667,0.21333333333333335,0.8505747126436781,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.13,0.87,0.21,0.8505747126436781,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.13,0.8566666666666667,0.20333333333333334,0.8505747126436781,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.13,0.85,0.20666666666666667,0.8505747126436781,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.13,0.86,0.20333333333333334,0.8505747126436781,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.13,0.87,0.2,0.8505747126436781,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.13,0.8266666666666667,0.20666666666666667,0.8505747126436781,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.13,0.8666666666666667,0.20666666666666667,0.8505747126436781,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.13,0.8766666666666667,0.2,0.8505747126436781,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.14,0.83,0.21,0.8372093023255814,0.0
